dataset,ego_id,num_nodes,num_edges,num_features,sensitive_attribute,avg_degree,max_degree,density,high_risk_percentage,avg_risk_score
facebook,0,347,5038,224,languages;id;anonymized feature 91,30.25825825825826,154,0.08392330629174927,94.23631123919309,0.9363692635330698
facebook,107,1045,53498,576,work;start_date;anonymized feature 171,103.47775628626692,506,0.098073291902693,97.89473684210527,0.9704479813347335
facebook,1684,792,28048,319,locale;anonymized feature 1141,71.36895674300254,272,0.08954270901173556,98.61111111111111,0.9841274780719982
facebook,1912,755,60050,480,location;id;anonymized feature 938,160.7764390896921,586,0.21097194652800955,98.67549668874173,0.9833416823007909
facebook,3437,547,9626,262,work;end_date;anonymized feature 676,36.052434456928836,214,0.06446082862901875,95.97806215722122,0.9440326746519572
facebook,348,227,6384,161,education;year;id;anonymized feature 63,57.0,198,0.2488791859966473,90.7488986784141,0.8778397739789676
facebook,3980,59,292,42,education;degree;id;anonymized feature 22,11.23076923076923,36,0.1706604324956166,40.67796610169492,0.5908513857915652
facebook,414,159,3386,105,work;start_date;anonymized feature 200,45.14666666666667,114,0.26956452511742696,93.08176100628931,0.9233466508424402
facebook,686,170,3312,63,first_name;anonymized feature 357,39.42857142857143,154,0.23056038983640795,97.6470588235294,0.9653556436198762
facebook,698,66,540,48,education;year;id;anonymized feature 59,17.704918032786885,58,0.2517482517482518,89.39393939393939,0.890494227994228
twitter,100318079,220,8354,1170,@michele_its,75.94545454545455,220,0.346782897467829,99.0909090909091,0.9862283814268448
twitter,10146102,104,951,390,#quote,20.021052631578947,63,0.1775578790141897,89.42307692307693,0.8717068437665335
twitter,101859065,24,208,172,@optich3cz,18.08695652173913,37,0.7536231884057971,83.33333333333334,0.8035356367157838
twitter,101903164,20,51,146,@Mcom_Respawn,7.285714285714286,16,0.26842105263157895,35.0,0.43582036019536013
twitter,102765423,86,1070,274,@mcosgrovecombr:,25.476190476190474,109,0.292749658002736,94.18604651162791,0.9246825823284984
twitter,102903198,227,4925,1655,@Dac_And_Coke:,43.584070796460175,247,0.1920003118786792,98.6784140969163,0.9739798766565229
twitter,103431502,99,473,339,@OCCUPYCARLISLE:,10.395604395604396,34,0.09750566893424037,86.86868686868688,0.8692992366091781
twitter,103865085,119,2484,915,@Camilla_SDO:,42.101694915254235,155,0.35379575559037174,88.23529411764706,0.8029860135054644
